Business Date,Employee ID,Employee Name,Job Title,Revenue Center,Shift,Clock In,Clock Out,Hours Worked,Cash Tips,CC Tips,Total Tips,Tip Out Given,Tip Out Received,Net Tips,Tips Per Hour,Checks Served,Net Sales,Tip Pct
2026-01-24,EMP-003,Jasmine Chen,Bartender,Bar,PM,16:00,01:00,6.1,92.38,297.08,389.46,58.42,0,331.04,54.18,59,1819.92,21.4
2026-01-24,EMP-006,Ryan Okafor,Barback,Bar,PM,16:00,01:00,8.5,47.47,254.81,302.28,0,71.62,373.9,44.03,61,1582.63,19.1
2026-01-24,EMP-009,Tony Garcia,Server,Bar,PM,16:00,01:00,9.3,136.8,271.8,408.6,0,0,408.6,43.78,44,1882.93,21.7
2026-01-24,EMP-015,Becca Thompson,Bartender,Bar,PM,16:00,01:00,8.9,82.38,455.24,537.62,80.64,0,456.98,51.34,70,3162.48,17.0
2026-01-24,EMP-016,Drew Collins,Bartender,Bar,PM,16:00,01:00,7.0,80.85,368.08,448.93,67.34,0,381.59,54.65,52,2400.71,18.7
2026-01-24,EMP-017,Megan Russo,Bartender,Bar,PM,16:00,01:00,8.0,173.44,486.28,659.72,98.96,0,560.76,69.73,70,3040.17,21.7
2026-01-24,EMP-020,Logan Scott,Bartender,Bar,PM,16:00,01:00,7.7,81.17,317.12,398.29,59.74,0,338.55,44.24,64,2042.53,19.5
2026-01-24,EMP-023,Kayla Murphy,Bartender,Bar,PM,16:00,01:00,6.5,146.15,386.84,532.99,79.95,0,453.04,69.96,99,2550.21,20.9
2026-01-24,EMP-026,Dylan Morales,Bartender,Bar,PM,16:00,01:00,8.7,75.87,285.82,361.69,54.25,0,307.44,35.37,49,1572.56,23.0
2026-01-24,EMP-027,Lexi Harper,Bartender,Bar,PM,16:00,01:00,5.8,73.77,298.14,371.91,55.79,0,316.12,54.11,44,1868.87,19.9
2026-01-24,EMP-029,Jordan Blake,Lead Bartender,Bar,PM,16:00,01:00,5.9,163.02,401.54,564.56,84.68,0,479.88,81.72,66,2625.86,21.5
2026-01-24,EMP-030,Samantha Reed,Lead Bartender,Bar,PM,16:00,01:00,7.2,126.7,478.29,604.99,90.75,0,514.24,71.4,102,3252.62,18.6
2026-01-24,EMP-032,Olivia Price,Lead Bartender,Bar,PM,16:00,01:00,6.3,89.68,364.23,453.91,68.09,0,385.82,61.53,75,2236.0,20.3
2026-01-24,EMP-033,Devon Marshall,Barback,Bar,PM,16:00,01:00,8.4,153.23,369.04,522.27,0,70.11,592.38,70.54,99,2967.43,17.6
2026-01-24,EMP-034,Jalen Cooper,Barback,Bar,PM,16:00,01:00,5.6,43.5,236.9,280.4,0,160.67,441.07,79.38,40,1709.74,16.4
2026-01-24,EMP-035,Isaac Bell,Barback,Bar,PM,16:00,01:00,7.5,87.93,255.4,343.33,0,138.09,481.42,64.5,64,1918.02,17.9
2026-01-24,EMP-036,Mason Perry,Barback,Bar,PM,16:00,01:00,7.4,140.53,278.73,419.26,0,175.89,595.15,80.31,93,2466.21,17.0
2026-01-24,EMP-037,Lucas Ward,Barback,Bar,PM,16:00,01:00,6.7,51.3,208.97,260.27,0,171.26,431.53,64.26,37,1668.4,15.6
2026-01-24,EMP-038,Brandon Long,Barback,Bar,PM,16:00,01:00,7.3,69.49,387.73,457.22,0,111.08,568.3,77.83,58,2369.03,19.3
2026-01-24,EMP-043,Liam Hayes,Server,Bar,PM,16:00,01:00,8.1,82.97,164.71,247.68,0,0,247.68,30.42,56,1423.47,17.4
2026-01-24,EMP-047,Kevin Walsh,Lead Bartender,Bar,PM,16:00,01:00,6.7,116.49,439.79,556.28,83.44,0,472.84,70.94,70,2563.52,21.7
2026-01-24,EMP-006,Ryan Okafor,Barback,Bar,Late,20:00,02:00,8.1,109.2,216.07,325.27,0,83.18,408.45,50.48,52,1702.96,19.1
2026-01-24,EMP-010,Katie Brown,Server,Bar,Late,20:00,02:00,8.3,79.56,238.8,318.36,0,0,318.36,38.57,36,1354.73,23.5
2026-01-24,EMP-013,Darius Washington,Doorman,Bar,Late,20:00,02:00,7.2,91.11,183.55,274.66,0,0,274.66,38.0,31,1525.9,18.0
2026-01-24,EMP-020,Logan Scott,Bartender,Bar,Late,20:00,02:00,8.5,41.81,208.87,250.68,37.6,0,213.08,24.99,40,1182.46,21.2
2026-01-24,EMP-024,Trey Adams,Bartender,Bar,Late,20:00,02:00,6.8,64.29,162.04,226.33,33.95,0,192.38,28.15,23,988.33,22.9
2026-01-24,EMP-026,Dylan Morales,Bartender,Bar,Late,20:00,02:00,8.8,92.5,229.69,322.19,48.33,0,273.86,31.28,49,1643.82,19.6
2026-01-24,EMP-028,Caleb Stewart,Bartender,Bar,Late,20:00,02:00,9.5,106.42,291.64,398.06,59.71,0,338.35,35.79,66,1960.89,20.3
2026-01-24,EMP-029,Jordan Blake,Lead Bartender,Bar,Late,20:00,02:00,8.0,107.27,339.4,446.67,67.0,0,379.67,47.45,52,2537.91,17.6
2026-01-24,EMP-030,Samantha Reed,Lead Bartender,Bar,Late,20:00,02:00,6.0,173.25,400.15,573.4,86.01,0,487.39,81.43,94,2743.55,20.9
2026-01-24,EMP-034,Jalen Cooper,Barback,Bar,Late,20:00,02:00,9.2,45.73,203.37,249.1,0,149.68,398.78,43.57,37,1596.79,15.6
2026-01-24,EMP-036,Mason Perry,Barback,Bar,Late,20:00,02:00,9.4,66.45,176.71,243.16,0,234.37,477.53,50.69,36,1366.06,17.8
2026-01-24,EMP-039,Paige Ramirez,Server,Bar,Late,20:00,02:00,7.2,102.33,448.15,550.48,0,0,550.48,76.89,85,2738.7,20.1
2026-01-24,EMP-040,Noah Foster,Server,Bar,Late,20:00,02:00,9.5,59.91,187.35,247.26,0,0,247.26,26.04,42,1437.58,17.2
2026-01-24,EMP-045,Andre Jackson,Doorman,Bar,Late,20:00,02:00,8.3,61.91,255.78,317.69,0,0,317.69,38.32,68,1774.82,17.9
2026-01-24,EMP-049,Ian Doyle,Bartender,Bar,Late,20:00,02:00,8.8,124.56,239.01,363.57,54.54,0,309.03,35.19,48,1817.83,20.0
2026-01-25,EMP-020,Logan Scott,Bartender,Bar,AM,11:00,17:00,6.5,21.61,76.62,98.23,14.73,0,83.5,12.91,9,456.88,21.5
2026-01-25,EMP-037,Lucas Ward,Barback,Bar,AM,11:00,17:00,6.1,14.55,57.97,72.52,0,136.79,209.31,34.14,13,362.59,20.0
2026-01-25,EMP-048,Rachel Ellis,Lead Bartender,Bar,AM,11:00,17:00,5.8,31.84,98.79,130.63,19.59,0,111.04,19.17,19,759.49,17.2
2026-01-26,EMP-002,Marcus Rivera,Bartender,Bar,AM,11:00,17:00,6.4,18.92,94.09,113.01,16.95,0,96.06,15.08,22,631.33,17.9
2026-01-26,EMP-008,Aisha Williams,Server,Bar,AM,11:00,17:00,5.5,35.21,128.97,164.18,0,0,164.18,29.8,24,707.68,23.2
2026-01-26,EMP-019,Hailey Nguyen,Bartender,Bar,AM,11:00,17:00,5.7,31.58,72.78,104.36,15.65,0,88.71,15.57,13,524.44,19.9
2026-01-26,EMP-023,Kayla Murphy,Bartender,Bar,AM,11:00,17:00,6.2,27.38,101.26,128.64,19.3,0,109.34,17.76,14,627.51,20.5
2026-01-26,EMP-024,Trey Adams,Bartender,Bar,AM,11:00,17:00,6.0,15.75,67.03,82.78,12.42,0,70.36,11.73,11,452.35,18.3
2026-01-26,EMP-048,Rachel Ellis,Lead Bartender,Bar,AM,11:00,17:00,6.2,26.21,82.04,108.25,16.24,0,92.01,14.73,12,633.06,17.1
2026-01-26,EMP-004,Jake Patterson,Bartender,Bar,PM,16:00,01:00,7.4,75.64,192.34,267.98,40.2,0,227.78,30.67,43,1218.1,22.0
2026-01-26,EMP-006,Ryan Okafor,Barback,Bar,PM,16:00,01:00,8.9,49.5,266.7,316.2,0,210.92,527.12,58.96,46,1588.92,19.9
2026-01-26,EMP-009,Tony Garcia,Server,Bar,PM,16:00,01:00,7.3,68.24,224.54,292.78,0,0,292.78,40.0,30,1368.13,21.4
2026-01-26,EMP-015,Becca Thompson,Bartender,Bar,PM,16:00,01:00,5.6,75.05,374.5,449.55,67.43,0,382.12,68.23,71,2192.92,20.5
2026-01-26,EMP-016,Drew Collins,Bartender,Bar,PM,16:00,01:00,9.1,96.4,202.93,299.33,44.9,0,254.43,27.84,31,1550.93,19.3
2026-01-26,EMP-018,Cole Jenkins,Bartender,Bar,PM,16:00,01:00,5.9,101.34,289.52,390.86,58.63,0,332.23,56.42,54,2285.71,17.1
2026-01-26,EMP-024,Trey Adams,Bartender,Bar,PM,16:00,01:00,5.9,26.0,136.8,162.8,24.42,0,138.38,23.47,32,843.51,19.3
2026-01-26,EMP-025,Maddie Turner,Bartender,Bar,PM,16:00,01:00,9.3,51.3,189.71,241.01,36.15,0,204.86,22.02,37,1434.58,16.8
2026-01-26,EMP-028,Caleb Stewart,Bartender,Bar,PM,16:00,01:00,6.3,76.87,219.87,296.74,44.51,0,252.23,40.3,31,1301.5,22.8
2026-01-26,EMP-032,Olivia Price,Lead Bartender,Bar,PM,16:00,01:00,6.5,114.24,225.48,339.72,50.96,0,288.76,44.6,37,1657.15,20.5
2026-01-26,EMP-033,Devon Marshall,Barback,Bar,PM,16:00,01:00,9.0,37.56,183.54,221.1,0,50.57,271.67,30.26,30,1408.3,15.7
2026-01-26,EMP-034,Jalen Cooper,Barback,Bar,PM,16:00,01:00,6.5,58.76,111.63,170.39,0,52.97,223.36,34.35,20,931.08,18.3
2026-01-26,EMP-035,Isaac Bell,Barback,Bar,PM,16:00,01:00,6.2,28.81,88.9,117.71,0,199.13,316.84,51.13,17,629.47,18.7
2026-01-26,EMP-039,Paige Ramirez,Server,Bar,PM,16:00,01:00,9.3,59.58,277.77,337.35,0,0,337.35,36.35,39,1512.78,22.3
2026-01-26,EMP-043,Liam Hayes,Server,Bar,PM,16:00,01:00,7.1,45.19,223.68,268.87,0,0,268.87,37.83,50,1351.1,19.9
2026-01-26,EMP-047,Kevin Walsh,Lead Bartender,Bar,PM,16:00,01:00,5.8,88.92,281.06,369.98,55.5,0,314.48,54.57,52,1753.44,21.1
2026-01-27,EMP-002,Marcus Rivera,Bartender,Bar,AM,11:00,17:00,6.4,32.84,126.72,159.56,23.93,0,135.63,21.35,23,718.72,22.2
2026-01-27,EMP-005,Tyler Brooks,Lead Bartender,Bar,AM,11:00,17:00,6.0,32.18,89.4,121.58,18.24,0,103.34,17.36,17,723.7,16.8
2026-01-27,EMP-010,Katie Brown,Server,Bar,AM,11:00,17:00,5.6,36.28,73.43,109.71,0,0,109.71,19.71,15,656.94,16.7
2026-01-27,EMP-023,Kayla Murphy,Bartender,Bar,AM,11:00,17:00,6.2,33.21,128.15,161.36,24.2,0,137.16,22.25,14,704.62,22.9
2026-01-27,EMP-029,Jordan Blake,Lead Bartender,Bar,AM,11:00,17:00,5.7,40.57,106.18,146.75,22.01,0,124.74,21.79,14,643.62,22.8
2026-01-27,EMP-040,Noah Foster,Server,Bar,AM,11:00,17:00,6.3,18.42,69.51,87.93,0,0,87.93,13.89,15,505.35,17.4
2026-01-27,EMP-042,Grace Kelley,Server,Bar,AM,11:00,17:00,6.1,15.82,55.0,70.82,0,0,70.82,11.67,16,414.13,17.1
2026-01-27,EMP-048,Rachel Ellis,Lead Bartender,Bar,AM,11:00,17:00,5.8,30.39,125.73,156.12,23.42,0,132.7,22.72,18,716.14,21.8
2026-01-27,EMP-049,Ian Doyle,Bartender,Bar,AM,11:00,17:00,5.7,28.62,68.2,96.82,14.52,0,82.3,14.55,10,452.44,21.4
2026-01-27,EMP-002,Marcus Rivera,Bartender,Bar,PM,16:00,01:00,6.0,64.14,235.15,299.29,44.89,0,254.4,42.72,44,1635.49,18.3
2026-01-27,EMP-005,Tyler Brooks,Lead Bartender,Bar,PM,16:00,01:00,7.9,82.42,185.39,267.81,40.17,0,227.64,28.83,51,1455.5,18.4
2026-01-27,EMP-006,Ryan Okafor,Barback,Bar,PM,16:00,01:00,5.5,57.49,152.36,209.85,0,190.73,400.58,72.43,35,1319.83,15.9
2026-01-27,EMP-010,Katie Brown,Server,Bar,PM,16:00,01:00,5.7,44.64,206.77,251.41,0,0,251.41,44.35,27,1074.42,23.4
2026-01-27,EMP-019,Hailey Nguyen,Bartender,Bar,PM,16:00,01:00,6.8,46.44,206.49,252.93,37.94,0,214.99,31.62,25,1210.18,20.9
2026-01-27,EMP-020,Logan Scott,Bartender,Bar,PM,16:00,01:00,6.5,79.09,212.93,292.02,43.8,0,248.22,38.35,44,1445.64,20.2
2026-01-27,EMP-021,Zoe Henderson,Bartender,Bar,PM,16:00,01:00,6.2,66.04,200.26,266.3,39.95,0,226.35,36.67,33,1575.75,16.9
2026-01-27,EMP-023,Kayla Murphy,Bartender,Bar,PM,16:00,01:00,8.8,111.17,235.46,346.63,51.99,0,294.64,33.57,64,1936.46,17.9
2026-01-27,EMP-027,Lexi Harper,Bartender,Bar,PM,16:00,01:00,7.5,66.78,189.85,256.63,38.49,0,218.14,29.18,24,1161.24,22.1
2026-01-27,EMP-035,Isaac Bell,Barback,Bar,PM,16:00,01:00,7.3,33.52,65.43,98.95,0,151.47,250.42,34.45,18,603.33,16.4
2026-01-27,EMP-038,Brandon Long,Barback,Bar,PM,16:00,01:00,5.8,88.14,300.16,388.3,0,151.41,539.71,92.94,55,2011.91,19.3
2026-01-27,EMP-049,Ian Doyle,Bartender,Bar,PM,16:00,01:00,6.1,28.05,136.78,164.83,24.72,0,140.11,22.96,29,981.12,16.8
2026-01-28,EMP-008,Aisha Williams,Server,Bar,AM,11:00,17:00,5.9,38.53,82.53,121.06,0,0,121.06,20.39,17,599.33,20.2
2026-01-28,EMP-009,Tony Garcia,Server,Bar,AM,11:00,17:00,5.8,24.98,88.27,113.25,0,0,113.25,19.4,19,507.86,22.3
2026-01-28,EMP-010,Katie Brown,Server,Bar,AM,11:00,17:00,5.8,21.01,103.5,124.51,0,0,124.51,21.53,12,584.55,21.3
2026-01-28,EMP-018,Cole Jenkins,Bartender,Bar,AM,11:00,17:00,6.5,36.46,121.4,157.86,23.68,0,134.18,20.75,17,826.51,19.1
2026-01-28,EMP-037,Lucas Ward,Barback,Bar,AM,11:00,17:00,6.4,16.46,34.59,51.05,0,65.43,116.48,18.07,6,317.1,16.1
2026-01-28,EMP-039,Paige Ramirez,Server,Bar,AM,11:00,17:00,6.3,43.84,111.28,155.12,0,0,155.12,24.49,21,951.67,16.3
2026-01-28,EMP-040,Noah Foster,Server,Bar,AM,11:00,17:00,5.7,23.22,100.19,123.41,0,0,123.41,21.8,19,555.88,22.2
2026-01-28,EMP-050,Taylor Quinn,Bartender,Bar,AM,11:00,17:00,5.8,26.17,81.43,107.6,16.14,0,91.46,15.81,16,548.99,19.6
2026-01-28,EMP-004,Jake Patterson,Bartender,Bar,PM,16:00,01:00,9.4,55.41,147.11,202.52,30.38,0,172.14,18.24,28,1106.67,18.3
2026-01-28,EMP-009,Tony Garcia,Server,Bar,PM,16:00,01:00,8.1,91.05,185.28,276.33,0,0,276.33,34.26,29,1354.58,20.4
2026-01-28,EMP-015,Becca Thompson,Bartender,Bar,PM,16:00,01:00,6.6,108.23,304.08,412.31,61.85,0,350.46,53.17,49,2397.17,17.2
2026-01-28,EMP-016,Drew Collins,Bartender,Bar,PM,16:00,01:00,6.9,50.82,152.77,203.59,30.54,0,173.05,25.09,40,1241.41,16.4
2026-01-28,EMP-018,Cole Jenkins,Bartender,Bar,PM,16:00,01:00,9.2,84.66,356.92,441.58,66.24,0,375.34,40.69,73,2082.93,21.2
2026-01-28,EMP-019,Hailey Nguyen,Bartender,Bar,PM,16:00,01:00,8.3,64.29,182.71,247.0,37.05,0,209.95,25.34,45,1143.53,21.6
2026-01-28,EMP-020,Logan Scott,Bartender,Bar,PM,16:00,01:00,8.8,62.82,194.18,257.0,38.55,0,218.45,24.71,42,1178.89,21.8
2026-01-28,EMP-021,Zoe Henderson,Bartender,Bar,PM,16:00,01:00,5.7,86.83,248.95,335.78,50.37,0,285.41,50.15,53,1499.04,22.4
2026-01-28,EMP-025,Maddie Turner,Bartender,Bar,PM,16:00,01:00,6.5,45.92,156.33,202.25,30.34,0,171.91,26.58,33,1042.52,19.4
2026-01-28,EMP-028,Caleb Stewart,Bartender,Bar,PM,16:00,01:00,5.8,54.45,303.0,357.45,53.62,0,303.83,52.65,45,1778.35,20.1
2026-01-28,EMP-029,Jordan Blake,Lead Bartender,Bar,PM,16:00,01:00,8.0,147.54,277.94,425.48,63.82,0,361.66,44.97,52,2363.76,18.0
2026-01-28,EMP-030,Samantha Reed,Lead Bartender,Bar,PM,16:00,01:00,8.0,140.26,354.49,494.75,74.21,0,420.54,52.48,86,2259.12,21.9
2026-01-28,EMP-033,Devon Marshall,Barback,Bar,PM,16:00,01:00,7.4,63.44,274.56,338.0,0,62.62,400.62,54.44,41,1857.15,18.2
2026-01-28,EMP-035,Isaac Bell,Barback,Bar,PM,16:00,01:00,6.3,24.84,75.74,100.58,0,247.82,348.4,55.32,13,510.55,19.7
2026-01-28,EMP-036,Mason Perry,Barback,Bar,PM,16:00,01:00,6.3,42.07,195.8,237.87,0,116.38,354.25,56.55,44,1258.58,18.9
2026-01-28,EMP-037,Lucas Ward,Barback,Bar,PM,16:00,01:00,8.5,31.06,169.0,200.06,0,149.24,349.3,41.22,31,1183.78,16.9
2026-01-28,EMP-047,Kevin Walsh,Lead Bartender,Bar,PM,16:00,01:00,8.8,124.53,248.33,372.86,55.93,0,316.93,36.06,48,2004.61,18.6
2026-01-28,EMP-048,Rachel Ellis,Lead Bartender,Bar,PM,16:00,01:00,7.2,137.37,264.85,402.22,60.33,0,341.89,47.46,45,2139.48,18.8
2026-01-28,EMP-050,Taylor Quinn,Bartender,Bar,PM,16:00,01:00,6.6,140.67,279.25,419.92,62.99,0,356.93,54.09,43,1779.31,23.6
2026-01-28,EMP-005,Tyler Brooks,Lead Bartender,Bar,Late,20:00,02:00,8.6,36.76,152.41,189.17,28.38,0,160.79,18.64,33,1146.48,16.5
2026-01-28,EMP-021,Zoe Henderson,Bartender,Bar,Late,20:00,02:00,8.4,51.16,164.1,215.26,32.29,0,182.97,21.67,35,1127.0,19.1
2026-01-28,EMP-022,Nate Fitzgerald,Bartender,Bar,Late,20:00,02:00,9.5,48.51,144.18,192.69,28.9,0,163.79,17.27,29,827.0,23.3
