Check Num,Opened,Closed,Revenue Center,Server,Item,Menu Group,Qty,Item Price,Net Amount,Tax,Tip,Payment Method
100012,2026-01-23 19:56:00,2026-01-23 20:42:00,Bar,Jake Patterson,Fish Tacos,Food,1,15.00,15.00,6.16,21.74,Amex
100012,2026-01-23 19:56:00,2026-01-23 20:42:00,Bar,Jake Patterson,Vodka Soda,Well Drinks,1,9.00,9.00,6.16,21.74,Amex
100013,2026-01-23 12:33:00,2026-01-22 14:33:00,Bar,Aisha Williams,Shot - Tequila,Spirits,3,9.00,27.00,9.87,31.79,Visa
100013,2026-01-23 12:33:00,2026-01-22 14:33:00,Bar,Aisha Williams,Moscow Mule,Cocktails,3,12.00,36.00,9.87,31.79,Visa
100013,2026-01-23 12:33:00,2026-01-22 14:33:00,Bar,Aisha Williams,Prosecco,Wine,3,11.00,33.00,9.87,31.79,Visa
100013,2026-01-23 12:33:00,2026-01-22 14:33:00,Bar,Aisha Williams,Shot - Tequila,Spirits,3,9.00,27.00,9.87,31.79,Visa
100013,2026-01-23 12:33:00,2026-01-22 14:33:00,Bar,Aisha Williams,Gin & Tonic,Well Drinks,2,9.00,18.00,9.87,31.79,Visa
100014,2026-01-23 14:05:00,2026-01-22 15:56:00,Bar,Marcus Rivera,White Claw,Beer,1,7.00,7.00,4.81,14.76,Mastercard
100014,2026-01-23 14:05:00,2026-01-22 15:56:00,Bar,Marcus Rivera,House Red Wine,Wine,3,12.00,36.00,4.81,14.76,Mastercard
100014,2026-01-23 14:05:00,2026-01-22 15:56:00,Bar,Marcus Rivera,IPA Draft,Beer,1,8.00,8.00,4.81,14.76,Mastercard
100014,2026-01-23 14:05:00,2026-01-22 15:56:00,Bar,Marcus Rivera,Guinness Draft,Beer,1,8.50,8.50,4.81,14.76,Mastercard
100014,2026-01-23 14:05:00,2026-01-22 15:56:00,Bar,Marcus Rivera,Bud Light,Beer,2,6.00,9.25,4.81,14.76,Mastercard
100015,2026-01-23 17:47:00,2026-01-23 19:39:00,Bar,Jasmine Chen,Burger,Food,3,16.00,48.00,6.30,13.75,Visa
100015,2026-01-23 17:47:00,2026-01-23 19:39:00,Bar,Jasmine Chen,Gin & Tonic,Well Drinks,1,9.00,9.00,6.30,13.75,Visa
100015,2026-01-23 17:47:00,2026-01-23 19:39:00,Bar,Jasmine Chen,Mozzarella Sticks,Food,3,11.00,33.00,6.30,13.75,Visa
100016,2026-01-23 13:42:00,2026-01-22 14:39:00,Bar,Marcus Rivera,Guinness Draft,Beer,1,8.50,8.50,0.60,1.78,Cash
100017,2026-01-23 12:55:00,2026-01-22 14:19:00,Bar,Aisha Williams,Guinness Draft,Beer,2,8.50,17.00,4.69,16.12,Cash
100017,2026-01-23 12:55:00,2026-01-22 14:19:00,Bar,Aisha Williams,Shot - Jameson,Spirits,3,8.00,24.00,4.69,16.12,Cash
100017,2026-01-23 12:55:00,2026-01-22 14:19:00,Bar,Aisha Williams,Margarita,Cocktails,2,13.00,26.00,4.69,16.12,Cash
100018,2026-01-23 20:01:00,2026-01-23 21:40:00,Bar,Aisha Williams,Espresso Martini,Cocktails,2,15.00,30.00,2.10,7.32,Cash
100019,2026-01-23 16:22:00,2026-01-22 17:36:00,Bar,Aisha Williams,Espresso Martini,Cocktails,1,15.00,15.00,2.04,6.04,Discover
100019,2026-01-23 16:22:00,2026-01-22 17:36:00,Bar,Aisha Williams,Vodka Soda,Well Drinks,2,9.00,14.19,2.04,6.04,Discover
100020,2026-01-23 23:26:00,2026-01-23 00:33:00,Bar,Katie Brown,Rum & Coke,Well Drinks,3,9.00,27.00,4.69,13.04,Discover
100020,2026-01-23 23:26:00,2026-01-23 00:33:00,Bar,Katie Brown,Long Island,Cocktails,1,14.00,14.00,4.69,13.04,Discover
100020,2026-01-23 23:26:00,2026-01-23 00:33:00,Bar,Katie Brown,Guinness Draft,Beer,2,8.50,17.00,4.69,13.04,Discover
100020,2026-01-23 23:26:00,2026-01-23 00:33:00,Bar,Katie Brown,Vodka Soda,Well Drinks,1,9.00,9.00,4.69,13.04,Discover
100021,2026-01-23 17:33:00,2026-01-23 19:10:00,Bar,Jake Patterson,Rum & Coke,Well Drinks,3,9.00,27.00,4.76,10.90,Cash
100021,2026-01-23 17:33:00,2026-01-23 19:10:00,Bar,Jake Patterson,IPA Draft,Beer,1,8.00,8.00,4.76,10.90,Cash
100021,2026-01-23 17:33:00,2026-01-23 19:10:00,Bar,Jake Patterson,Gin & Tonic,Well Drinks,2,9.00,18.00,4.76,10.90,Cash
100021,2026-01-23 17:33:00,2026-01-23 19:10:00,Bar,Jake Patterson,Vodka Soda,Well Drinks,1,9.00,9.00,4.76,10.90,Cash
100021,2026-01-23 17:33:00,2026-01-23 19:10:00,Bar,Jake Patterson,Bud Light,Beer,1,6.00,6.00,4.76,10.90,Cash
100022,2026-01-23 14:19:00,2026-01-22 14:41:00,Bar,Tony Garcia,Guinness Draft,Beer,1,8.50,8.50,8.41,26.84,Cash
100022,2026-01-23 14:19:00,2026-01-22 14:41:00,Bar,Tony Garcia,Shot - Fireball,Spirits,3,7.00,21.00,8.41,26.84,Cash
100022,2026-01-23 14:19:00,2026-01-22 14:41:00,Bar,Tony Garcia,Margarita,Cocktails,2,13.00,26.00,8.41,26.84,Cash
100022,2026-01-23 14:19:00,2026-01-22 14:41:00,Bar,Tony Garcia,Loaded Nachos,Food,3,14.00,42.00,8.41,26.84,Cash
100022,2026-01-23 14:19:00,2026-01-22 14:41:00,Bar,Tony Garcia,Gin & Tonic,Well Drinks,3,9.00,22.69,8.41,26.84,Cash
100023,2026-01-23 20:06:00,2026-01-23 20:44:00,Bar,Sofia Martinez,House Red Wine,Wine,2,12.00,24.00,3.22,7.61,Cash
100023,2026-01-23 20:06:00,2026-01-23 20:44:00,Bar,Sofia Martinez,Prosecco,Wine,2,11.00,22.00,3.22,7.61,Cash
100024,2026-01-23 19:51:00,2026-01-23 20:31:00,Bar,Marcus Rivera,Old Fashioned,Cocktails,2,14.00,28.00,3.15,9.57,Cash
100024,2026-01-23 19:51:00,2026-01-23 20:31:00,Bar,Marcus Rivera,Prosecco,Wine,1,11.00,11.00,3.15,9.57,Cash
100024,2026-01-23 19:51:00,2026-01-23 20:31:00,Bar,Marcus Rivera,Bud Light,Beer,1,6.00,6.00,3.15,9.57,Cash
100025,2026-01-23 13:48:00,2026-01-22 15:01:00,Bar,Aisha Williams,Gin & Tonic,Well Drinks,2,9.00,18.00,1.26,2.84,Discover
100026,2026-01-23 14:37:00,2026-01-22 16:24:00,Bar,Katie Brown,Guinness Draft,Beer,2,8.50,17.00,10.88,23.44,Discover
100026,2026-01-23 14:37:00,2026-01-22 16:24:00,Bar,Katie Brown,Espresso Martini,Cocktails,3,15.00,45.00,10.88,23.44,Discover
100026,2026-01-23 14:37:00,2026-01-22 16:24:00,Bar,Katie Brown,Espresso Martini,Cocktails,3,15.00,45.00,10.88,23.44,Discover
100026,2026-01-23 14:37:00,2026-01-22 16:24:00,Bar,Katie Brown,Guinness Draft,Beer,1,8.50,6.48,10.88,23.44,Discover
100026,2026-01-23 14:37:00,2026-01-22 16:24:00,Bar,Katie Brown,Loaded Nachos,Food,3,14.00,42.00,10.88,23.44,Discover
100027,2026-01-23 19:28:00,2026-01-23 20:38:00,Bar,Tony Garcia,Shot - Tequila,Spirits,3,9.00,19.59,9.49,26.67,Mastercard
100027,2026-01-23 19:28:00,2026-01-23 20:38:00,Bar,Tony Garcia,Margarita,Cocktails,3,13.00,39.00,9.49,26.67,Mastercard
100027,2026-01-23 19:28:00,2026-01-23 20:38:00,Bar,Tony Garcia,Shot - Fireball,Spirits,2,7.00,14.00,9.49,26.67,Mastercard
100027,2026-01-23 19:28:00,2026-01-23 20:38:00,Bar,Tony Garcia,Espresso Martini,Cocktails,3,15.00,45.00,9.49,26.67,Mastercard
100027,2026-01-23 19:28:00,2026-01-23 20:38:00,Bar,Tony Garcia,Rum & Coke,Well Drinks,2,9.00,18.00,9.49,26.67,Mastercard
100028,2026-01-23 20:42:00,2026-01-23 22:34:00,Bar,Katie Brown,Guinness Draft,Beer,2,8.50,17.00,1.19,3.88,Visa
100029,2026-01-23 16:40:00,2026-01-22 18:29:00,Bar,Katie Brown,Guinness Draft,Beer,2,8.50,17.00,2.23,6.22,Mastercard
100029,2026-01-23 16:40:00,2026-01-22 18:29:00,Bar,Katie Brown,Gin & Tonic,Well Drinks,2,9.00,14.87,2.23,6.22,Mastercard
100030,2026-01-23 22:18:00,2026-01-23 00:13:00,Bar,Jasmine Chen,Pretzel Bites,Food,3,12.00,36.00,2.52,7.66,Discover
100031,2026-01-23 17:30:00,2026-01-23 19:05:00,Bar,Aisha Williams,Shot - Tequila,Spirits,2,9.00,18.00,1.26,2.89,Mastercard
100032,2026-01-23 18:35:00,2026-01-23 20:05:00,Bar,Katie Brown,Prosecco,Wine,3,11.00,33.00,8.02,26.01,Amex
100032,2026-01-23 18:35:00,2026-01-23 20:05:00,Bar,Katie Brown,Guinness Draft,Beer,1,8.50,8.50,8.02,26.01,Amex
100032,2026-01-23 18:35:00,2026-01-23 20:05:00,Bar,Katie Brown,Guinness Draft,Beer,2,8.50,17.00,8.02,26.01,Amex
100032,2026-01-23 18:35:00,2026-01-23 20:05:00,Bar,Katie Brown,Espresso Martini,Cocktails,3,15.00,45.00,8.02,26.01,Amex
100032,2026-01-23 18:35:00,2026-01-23 20:05:00,Bar,Katie Brown,Prosecco,Wine,1,11.00,11.00,8.02,26.01,Amex
100033,2026-01-23 23:06:00,2026-01-23 23:21:00,Bar,Aisha Williams,Old Fashioned,Cocktails,2,14.00,28.00,3.78,11.85,Visa
100033,2026-01-23 23:06:00,2026-01-23 23:21:00,Bar,Aisha Williams,Margarita,Cocktails,2,13.00,26.00,3.78,11.85,Visa
100034,2026-01-23 18:36:00,2026-01-23 19:55:00,Bar,Marcus Rivera,Old Fashioned,Cocktails,1,14.00,14.00,3.82,9.09,Cash
100034,2026-01-23 18:36:00,2026-01-23 19:55:00,Bar,Marcus Rivera,Shot - Fireball,Spirits,2,7.00,14.00,3.82,9.09,Cash
100034,2026-01-23 18:36:00,2026-01-23 19:55:00,Bar,Marcus Rivera,Guinness Draft,Beer,1,8.50,8.50,3.82,9.09,Cash
100034,2026-01-23 18:36:00,2026-01-23 19:55:00,Bar,Marcus Rivera,Mozzarella Sticks,Food,2,11.00,18.03,3.82,9.09,Cash
100035,2026-01-23 22:44:00,2026-01-23 23:20:00,Bar,Tyler Brooks,Loaded Nachos,Food,2,14.00,23.40,4.55,14.04,Discover
100035,2026-01-23 22:44:00,2026-01-23 23:20:00,Bar,Tyler Brooks,House Red Wine,Wine,3,12.00,31.64,4.55,14.04,Discover
100035,2026-01-23 22:44:00,2026-01-23 23:20:00,Bar,Tyler Brooks,Pretzel Bites,Food,1,12.00,9.90,4.55,14.04,Discover
100036,2026-01-23 23:56:00,2026-01-23 01:45:00,Bar,Jasmine Chen,Rum & Coke,Well Drinks,3,9.00,27.00,3.99,11.39,Cash
100036,2026-01-23 23:56:00,2026-01-23 01:45:00,Bar,Jasmine Chen,Espresso Martini,Cocktails,2,15.00,30.00,3.99,11.39,Cash
100037,2026-01-23 11:07:00,2026-01-22 12:17:00,Bar,Aisha Williams,Mozzarella Sticks,Food,2,11.00,22.00,1.54,4.84,Cash
100038,2026-01-23 12:39:00,2026-01-22 13:18:00,Bar,Tyler Brooks,Prosecco,Wine,2,11.00,22.00,3.01,6.53,Cash
100038,2026-01-23 12:39:00,2026-01-22 13:18:00,Bar,Tyler Brooks,White Claw,Beer,3,7.00,21.00,3.01,6.53,Cash
100039,2026-01-23 12:17:00,2026-01-22 12:50:00,Bar,Jasmine Chen,IPA Draft,Beer,3,8.00,24.00,9.10,27.15,Visa
100039,2026-01-23 12:17:00,2026-01-22 12:50:00,Bar,Jasmine Chen,Bud Light,Beer,2,6.00,12.00,9.10,27.15,Visa
100039,2026-01-23 12:17:00,2026-01-22 12:50:00,Bar,Jasmine Chen,Loaded Nachos,Food,3,14.00,42.00,9.10,27.15,Visa
100039,2026-01-23 12:17:00,2026-01-22 12:50:00,Bar,Jasmine Chen,Moscow Mule,Cocktails,3,12.00,36.00,9.10,27.15,Visa
100039,2026-01-23 12:17:00,2026-01-22 12:50:00,Bar,Jasmine Chen,Shot - Jameson,Spirits,2,8.00,16.00,9.10,27.15,Visa
100040,2026-01-23 22:01:00,2026-01-23 23:27:00,Bar,Jake Patterson,Shot - Jameson,Spirits,2,8.00,16.00,7.84,25.41,Cash
100040,2026-01-23 22:01:00,2026-01-23 23:27:00,Bar,Jake Patterson,Margarita,Cocktails,2,13.00,26.00,7.84,25.41,Cash
100040,2026-01-23 22:01:00,2026-01-23 23:27:00,Bar,Jake Patterson,Espresso Martini,Cocktails,2,15.00,30.00,7.84,25.41,Cash
100040,2026-01-23 22:01:00,2026-01-23 23:27:00,Bar,Jake Patterson,Shot - Jameson,Spirits,2,8.00,16.00,7.84,25.41,Cash
100040,2026-01-23 22:01:00,2026-01-23 23:27:00,Bar,Jake Patterson,Shot - Jameson,Spirits,3,8.00,24.00,7.84,25.41,Cash
100041,2026-01-23 19:12:00,2026-01-23 20:38:00,Bar,Sofia Martinez,Margarita,Cocktails,3,13.00,39.00,2.73,7.28,Discover
100042,2026-01-23 15:26:00,2026-01-22 16:34:00,Bar,Katie Brown,Vodka Soda,Well Drinks,2,9.00,18.00,1.26,3.07,Visa
100043,2026-01-23 19:18:00,2026-01-23 20:58:00,Bar,Katie Brown,Shot - Fireball,Spirits,2,7.00,14.00,4.55,11.78,Mastercard
100043,2026-01-23 19:18:00,2026-01-23 20:58:00,Bar,Katie Brown,Burger,Food,1,16.00,16.00,4.55,11.78,Mastercard
100043,2026-01-23 19:18:00,2026-01-23 20:58:00,Bar,Katie Brown,Vodka Soda,Well Drinks,3,9.00,27.00,4.55,11.78,Mastercard
100043,2026-01-23 19:18:00,2026-01-23 20:58:00,Bar,Katie Brown,IPA Draft,Beer,1,8.00,8.00,4.55,11.78,Mastercard
100044,2026-01-23 16:13:00,2026-01-22 18:00:00,Bar,Sofia Martinez,Shot - Fireball,Spirits,2,7.00,14.00,6.51,20.16,Amex
100044,2026-01-23 16:13:00,2026-01-22 18:00:00,Bar,Sofia Martinez,Shot - Tequila,Spirits,3,9.00,27.00,6.51,20.16,Amex
100044,2026-01-23 16:13:00,2026-01-22 18:00:00,Bar,Sofia Martinez,Shot - Jameson,Spirits,3,8.00,24.00,6.51,20.16,Amex
100044,2026-01-23 16:13:00,2026-01-22 18:00:00,Bar,Sofia Martinez,Bud Light,Beer,1,6.00,6.00,6.51,20.16,Amex
100044,2026-01-23 16:13:00,2026-01-22 18:00:00,Bar,Sofia Martinez,Prosecco,Wine,2,11.00,22.00,6.51,20.16,Amex
100045,2026-01-23 17:41:00,2026-01-22 18:20:00,Bar,Tony Garcia,Guinness Draft,Beer,2,8.50,17.00,1.19,2.72,Amex
100046,2026-01-23 22:30:00,2026-01-23 23:13:00,Bar,Aisha Williams,Gin & Tonic,Well Drinks,1,9.00,9.00,3.15,9.11,Amex
100046,2026-01-23 22:30:00,2026-01-23 23:13:00,Bar,Aisha Williams,Rum & Coke,Well Drinks,2,9.00,18.00,3.15,9.11,Amex
100046,2026-01-23 22:30:00,2026-01-23 23:13:00,Bar,Aisha Williams,Rum & Coke,Well Drinks,2,9.00,18.00,3.15,9.11,Amex
100047,2026-01-23 20:04:00,2026-01-23 21:48:00,Bar,Aisha Williams,Margarita,Cocktails,3,13.00,39.00,3.36,8.01,Discover
100047,2026-01-23 20:04:00,2026-01-23 21:48:00,Bar,Aisha Williams,Rum & Coke,Well Drinks,1,9.00,9.00,3.36,8.01,Discover
100048,2026-01-23 18:30:00,2026-01-23 19:15:00,Bar,Katie Brown,Long Island,Cocktails,2,14.00,28.00,1.96,5.25,Cash
100049,2026-01-23 11:00:00,2026-01-22 11:48:00,Bar,Aisha Williams,Rum & Coke,Well Drinks,2,9.00,18.00,3.78,12.22,Visa
100049,2026-01-23 11:00:00,2026-01-22 11:48:00,Bar,Aisha Williams,Pretzel Bites,Food,3,12.00,36.00,3.78,12.22,Visa
100050,2026-01-23 23:33:00,2026-01-23 00:39:00,Bar,Katie Brown,Mozzarella Sticks,Food,2,11.00,18.67,1.31,3.29,Cash
100051,2026-01-23 23:44:00,2026-01-23 01:00:00,Bar,Sofia Martinez,Mozzarella Sticks,Food,2,11.00,22.00,2.52,5.51,Mastercard
100051,2026-01-23 23:44:00,2026-01-23 01:00:00,Bar,Sofia Martinez,White Claw,Beer,2,7.00,14.00,2.52,5.51,Mastercard
100052,2026-01-23 12:54:00,2026-01-22 14:28:00,Bar,Aisha Williams,Espresso Martini,Cocktails,2,15.00,30.00,6.72,18.67,Cash
100052,2026-01-23 12:54:00,2026-01-22 14:28:00,Bar,Aisha Williams,House Red Wine,Wine,2,12.00,24.00,6.72,18.67,Cash
100052,2026-01-23 12:54:00,2026-01-22 14:28:00,Bar,Aisha Williams,Loaded Nachos,Food,3,14.00,42.00,6.72,18.67,Cash
100053,2026-01-23 13:55:00,2026-01-22 15:42:00,Bar,Sofia Martinez,Rum & Coke,Well Drinks,1,9.00,9.00,3.57,9.18,Amex
100053,2026-01-23 13:55:00,2026-01-22 15:42:00,Bar,Sofia Martinez,Long Island,Cocktails,3,14.00,42.00,3.57,9.18,Amex
100054,2026-01-23 15:00:00,2026-01-22 16:11:00,Bar,Tyler Brooks,Old Fashioned,Cocktails,1,14.00,14.00,5.67,18.19,Discover
100054,2026-01-23 15:00:00,2026-01-22 16:11:00,Bar,Tyler Brooks,Mozzarella Sticks,Food,2,11.00,22.00,5.67,18.19,Discover
100054,2026-01-23 15:00:00,2026-01-22 16:11:00,Bar,Tyler Brooks,Wings Basket,Food,3,15.00,45.00,5.67,18.19,Discover
100055,2026-01-23 20:38:00,2026-01-23 22:02:00,Bar,Jake Patterson,House Red Wine,Wine,2,12.00,24.00,5.67,18.55,Visa
100055,2026-01-23 20:38:00,2026-01-23 22:02:00,Bar,Jake Patterson,Shot - Fireball,Spirits,3,7.00,21.00,5.67,18.55,Visa
100055,2026-01-23 20:38:00,2026-01-23 22:02:00,Bar,Jake Patterson,Moscow Mule,Cocktails,3,12.00,36.00,5.67,18.55,Visa
100056,2026-01-26 23:35:00,2026-01-26 23:53:00,Bar,Marcus Rivera,IPA Draft,Beer,3,8.00,24.00,8.26,20.25,Visa
100056,2026-01-26 23:35:00,2026-01-26 23:53:00,Bar,Marcus Rivera,Guinness Draft,Beer,2,8.50,17.00,8.26,20.25,Visa
100056,2026-01-26 23:35:00,2026-01-26 23:53:00,Bar,Marcus Rivera,Wings Basket,Food,1,15.00,15.00,8.26,20.25,Visa
100056,2026-01-26 23:35:00,2026-01-26 23:53:00,Bar,Marcus Rivera,Espresso Martini,Cocktails,3,15.00,45.00,8.26,20.25,Visa
100056,2026-01-26 23:35:00,2026-01-26 23:53:00,Bar,Marcus Rivera,Guinness Draft,Beer,2,8.50,17.00,8.26,20.25,Visa
100057,2026-01-26 11:02:00,2026-01-25 11:47:00,Bar,Tony Garcia,House Red Wine,Wine,3,12.00,36.00,4.80,14.91,Mastercard
100057,2026-01-26 11:02:00,2026-01-25 11:47:00,Bar,Tony Garcia,Bud Light,Beer,2,6.00,10.64,4.80,14.91,Mastercard
100057,2026-01-26 11:02:00,2026-01-25 11:47:00,Bar,Tony Garcia,White Claw,Beer,2,7.00,14.00,4.80,14.91,Mastercard
100057,2026-01-26 11:02:00,2026-01-25 11:47:00,Bar,Tony Garcia,Shot - Jameson,Spirits,1,8.00,8.00,4.80,14.91,Mastercard
100058,2026-01-26 18:15:00,2026-01-25 18:33:00,Bar,Marcus Rivera,Margarita,Cocktails,1,13.00,13.00,4.69,12.40,Mastercard
100058,2026-01-26 18:15:00,2026-01-25 18:33:00,Bar,Marcus Rivera,House Red Wine,Wine,2,12.00,24.00,4.69,12.40,Mastercard
100058,2026-01-26 18:15:00,2026-01-25 18:33:00,Bar,Marcus Rivera,Espresso Martini,Cocktails,2,15.00,30.00,4.69,12.40,Mastercard
100059,2026-01-26 15:28:00,2026-01-25 15:48:00,Bar,Tony Garcia,Gin & Tonic,Well Drinks,3,9.00,23.00,1.61,4.94,Amex
100060,2026-01-26 22:32:00,2026-01-26 22:57:00,Bar,Sofia Martinez,Old Fashioned,Cocktails,3,14.00,42.00,4.06,10.40,Cash
100060,2026-01-26 22:32:00,2026-01-26 22:57:00,Bar,Sofia Martinez,IPA Draft,Beer,2,8.00,16.00,4.06,10.40,Cash
100061,2026-01-26 16:29:00,2026-01-25 17:28:00,Bar,Tony Garcia,IPA Draft,Beer,2,8.00,16.00,3.64,8.74,Cash
100061,2026-01-26 16:29:00,2026-01-25 17:28:00,Bar,Tony Garcia,Fish Tacos,Food,1,15.00,15.00,3.64,8.74,Cash
100061,2026-01-26 16:29:00,2026-01-25 17:28:00,Bar,Tony Garcia,Shot - Fireball,Spirits,3,7.00,21.00,3.64,8.74,Cash
100062,2026-01-26 12:57:00,2026-01-25 14:03:00,Bar,Aisha Williams,Moscow Mule,Cocktails,1,12.00,12.00,1.89,4.88,Cash
100062,2026-01-26 12:57:00,2026-01-25 14:03:00,Bar,Aisha Williams,Fish Tacos,Food,1,15.00,15.00,1.89,4.88,Cash
100063,2026-01-26 21:11:00,2026-01-26 21:50:00,Bar,Marcus Rivera,Burger,Food,2,16.00,32.00,7.45,16.54,Amex
100063,2026-01-26 21:11:00,2026-01-26 21:50:00,Bar,Marcus Rivera,Wings Basket,Food,2,15.00,30.00,7.45,16.54,Amex
100063,2026-01-26 21:11:00,2026-01-26 21:50:00,Bar,Marcus Rivera,Shot - Fireball,Spirits,1,7.00,7.00,7.45,16.54,Amex
100063,2026-01-26 21:11:00,2026-01-26 21:50:00,Bar,Marcus Rivera,Bud Light,Beer,1,6.00,6.00,7.45,16.54,Amex
100063,2026-01-26 21:11:00,2026-01-26 21:50:00,Bar,Marcus Rivera,Old Fashioned,Cocktails,3,14.00,31.47,7.45,16.54,Amex
100064,2026-01-26 19:07:00,2026-01-26 20:03:00,Bar,Tony Garcia,House Red Wine,Wine,2,12.00,24.00,4.27,10.07,Discover
